N	types	s	s0_matched	strain	sigma	drift	converged
4070	751	1.012	0.890	+0.122	0.008	0.113	False
4070	751	1.012	0.890	+0.122	0.008	0.113	False
5041	863	1.033	0.920	+0.113	0.008	0.119	False
5041	863	1.033	0.920	+0.113	0.008	0.119	False
5041	863	1.033	0.920	+0.113	0.008	0.119	False
6071	961	1.055	0.949	+0.106	0.007	0.122	False
7257	1070	1.074	0.978	+0.097	0.006	0.119	False
7283	1071	1.076	0.978	+0.097	0.005	0.120	False
8584	1150	1.098	1.004	+0.093	0.007	0.118	False
8584	1150	1.098	1.004	+0.093	0.007	0.118	False
8584	1150	1.098	1.004	+0.093	0.007	0.118	False
8607	1155	1.096	1.005	+0.091	0.006	0.115	False
8607	1155	1.096	1.005	+0.091	0.006	0.115	False
8617	1158	1.097	1.005	+0.092	0.005	0.118	False
8617	1158	1.097	1.005	+0.092	0.005	0.118	False
8617	1158	1.097	1.005	+0.092	0.005	0.118	False
8617	1159	1.096	1.005	+0.092	0.006	0.119	False
8628	1161	1.096	1.005	+0.091	0.009	0.121	False
8628	1161	1.096	1.005	+0.091	0.009	0.121	False
8637	1164	1.095	1.005	+0.090	0.007	0.122	False
8636	1167	1.094	1.005	+0.089	0.006	0.122	False
8636	1167	1.094	1.005	+0.089	0.006	0.122	False
8723	1175	1.095	1.007	+0.088	0.007	0.120	False
8723	1175	1.095	1.007	+0.088	0.007	0.120	False
8723	1176	1.094	1.007	+0.088	0.007	0.120	False
8723	1176	1.094	1.007	+0.088	0.007	0.120	False
8723	1176	1.094	1.007	+0.088	0.007	0.120	False
8769	1185	1.093	1.008	+0.085	0.006	0.120	False
8769	1185	1.093	1.008	+0.085	0.006	0.120	False
8776	1186	1.093	1.008	+0.085	0.007	0.120	False
9159	1224	1.096	1.015	+0.081	0.005	0.123	False
9275	1236	1.098	1.017	+0.081	0.006	0.125	False
9476	1250	1.099	1.020	+0.079	0.006	0.123	False
9517	1251	1.100	1.021	+0.079	0.006	0.124	False
9593	1257	1.102	1.022	+0.079	0.005	0.125	False
10199	1292	1.117	1.032	+0.085	0.006	0.126	False
10199	1292	1.117	1.032	+0.085	0.006	0.126	False
18428	1928	1.173	1.133	+0.040	0.005	0.120	False
18368	1920	1.172	1.132	+0.040	0.006	0.121	False
18361	1920	1.173	1.132	+0.040	0.004	0.125	False
18292	1912	1.172	1.132	+0.041	0.004	0.121	False
18289	1912	1.172	1.132	+0.041	0.004	0.121	False
18289	1912	1.172	1.132	+0.041	0.004	0.121	False
18060	1898	1.173	1.130	+0.043	0.005	0.121	False
18060	1898	1.173	1.130	+0.043	0.005	0.121	False
17913	1887	1.172	1.128	+0.044	0.005	0.120	False
18026	1892	1.174	1.129	+0.044	0.005	0.120	False
18982	1938	1.180	1.138	+0.042	0.005	0.123	False
19107	1950	1.181	1.139	+0.041	0.004	0.123	False
19214	1953	1.182	1.140	+0.042	0.005	0.123	False
19329	1959	1.183	1.141	+0.042	0.004	0.124	False
19430	1960	1.185	1.142	+0.043	0.006	0.124	False
19430	1960	1.185	1.142	+0.043	0.006	0.124	False
19560	1969	1.186	1.143	+0.043	0.005	0.124	False
19703	1978	1.187	1.145	+0.043	0.005	0.123	False
19841	1986	1.188	1.146	+0.042	0.005	0.124	False
19991	1995	1.189	1.147	+0.042	0.006	0.124	False
20104	1999	1.189	1.148	+0.041	0.005	0.125	False
20215	2003	1.190	1.149	+0.041	0.006	0.124	False
20338	2008	1.191	1.150	+0.041	0.005	0.123	False
20338	2008	1.191	1.150	+0.041	0.005	0.123	False
20279	2006	1.191	1.149	+0.041	0.004	0.122	False
21870	2115	1.196	1.162	+0.034	0.005	0.122	False
21870	2115	1.068	1.059	+0.009	0.009	0.006	True
21870	2115	1.068	1.059	+0.009	0.009	0.006	True
46050	3601	0.926	1.065	-0.139	0.006	0.003	True
